NAME,the_geom,TEL,URL,ADDRESS1,ADDRESS2,CITY,ZIP
Society For Renewal of Christian Art,POINT (-73.96219073494362 40.765647029599016),(212) 288-8186,http://www.nyc.com/arts__attractions/society_for_renewal_of_christian_art.340/editorial_review.aspx,217 E 66th St,,New York,10021
Soho 20,POINT (-74.00383257307128 40.74948117558807),(212) 367-8994,http://www.soho20gallery.com/New/exhibitions.html,511 W 25th St,,New York,10001
Soho Photo Gallery,POINT (-74.00555633265509 40.718964186297654),(212) 226-8571,http://www.sohophoto.com/,15 White St,,New York,10013
Soldwedel Kipp,POINT (-73.97074200370785 40.76224192243714),(212) 759-1175,http://www.ziphip.com/soldwedel+kipp.9.7196845p.home.html,470 Park Ave,,New York,10022
Soloman & Co Fine Art Gallerie,POINT (-73.96352461082171 40.77383485220909),(212) 737-8200,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489DA839-3048-28EB-923E97BA2BE7589F,959 Madison Ave,,New York,10021
Sonnabend Gallery Inc,POINT (-74.00640433268863 40.74753287385608),(212) 627-1018,http://www.artnet.com/sonnabend.html,532 W 22nd St,,New York,10011
Soufer Gallery,POINT (-73.96219093364687 40.77578491128998),(212) 628-3225,http://www.soufergallery.com/,1015 Madison Ave,,New York,10075
Spencer Brownstone Gallery,POINT (-74.0028519546277 40.72259290570126),(212) 334-3455,http://www.spencerbrownstonegallery.com/000mailing.html,39 Wooster St.,,New York,10013
Sperone Westwater,POINT (-73.99926239580837 40.72544340968263),(212) 253-0648,http://www.speronewestwater.com/cgi-bin/iowa/index.html,121 Greene St,,New York,10012
Spring,POINT (-73.98739580880391 40.70224827687764),(718) 222-1054,http://www.spring3d.net/,126 Front St,,Brooklyn,11201
Sragow Ellen Ltd,POINT (-73.99302490428965 40.74652176477976),(212) 219-1793,http://www.sragowgallery.com/,153 West 27th Street,Room #505,New York,10001
St Etienne Galerie,POINT (-73.97562840191033 40.76331815027905),(212) 245-6734,http://www.gseart.com/,24 W 57th St,,New York,10019
Staley-Wise Gallery,POINT (-73.9976700930255 40.72388325006023),(212) 966-6223,http://www.staleywise.com,560 Broadway,,New York,10012
Start,POINT (-74.00158103055105 40.7219883380336),(212) 431-2414,http://www.livevillage.com/newyork/art/start.html,50 Greene St,,New York,10013
State of Art,POINT (-73.95791517359595 40.73022121777638),(718) 349-7250,http://www.merchantcircle.com/blogs/State.of.Art.718-349-7250,113 Franklin St,,Brooklyn,11222
Steigrad Lawrence Fine Arts,POINT (-73.96622595705455 40.769820128615144),(212) 517-3643,http://www.steigrad.com/,23 E 69th St,# 4F,New York,10021
Stein Gertrude Gallery,POINT (-73.98049753870134 40.76544488935683),(212) 535-0600,http://www.gallerygertrudestein.com/contact.htm,200 West 57th Street,,New York,10019
Stephen Downes Gallery,POINT (-73.99647297058152 40.720124872165876),(212) 274-9194,http://www.nyc.com/arts__attractions/stephen_downes_gallery.263/editorial_review.aspx,377 Broome St,,New York,10013
Stewart Waltzer Co,POINT (-74.00394089705402 40.7287135272124),(212) 675-4949,http://www.manta.com/coms2/dnbcompany_jr0lm4,200 W Houston St,Apt 3D,New York,10014
Storefront For Art and Architecture,POINT (-73.9970682973752 40.72147742820455),(212) 431-5795,http://www.storefrontnews.org/,97 Kenmare St,,New York,10012
"Stricoff Fine Art, Ltd.",POINT (-74.0057107770999 40.74989327559004),(212) 219-3977,http://www.stricoff.com/,564 W 25th St,,New York,10001
Studio Gallery,POINT (-73.97428548023957 40.78933482906021),(212) 579-4654,http://www.merchantcircle.com/business/Studio.Gallery.212-579-4654,205 W 88th St,,New York,10024
Studio Tamar,POINT (-73.98429765855359 40.73821552093811),(212) 529-4247,http://www.upspring.com/studio-tamar-new-york-ny.html,152 E 22nd St,,New York,10010
Stux Gallery,POINT (-74.0048091965919 40.74932238784064),(212) 352-1600,http://www.stuxgallery.com,530 W 25th St,,New York,10001
Sugarhill Arts Center,POINT (-73.94709266575242 40.830220401900085),(212) 491-5890,http://www.theartproject.net/pages/126yp_awaken.htm,3658 Broadway,,New York,10031
Suite 106,POINT (-73.99892431070742 40.72359612141827),(212) 274-9166,http://www.art-search.us/listing/22923/suite-106-gallery,112 Mercer St,,New York,10012
Sun Yi Jun,POINT (-73.9953458096245 40.71676281529191),(212) 625-1910,http://www.nyc.com/arts__attractions/sun_yi_jun.821/editorial_review.aspx,83 Bowery,,New York,10002
Susan Aberbach Fine Art,POINT (-73.97168388843812 40.76228904795565),(212) 207-4600,http://www.saberbach.com/site.html,41 E 57th St,,New York,10022
Susan Megson Gallery,POINT (-74.00081320910148 40.72624920444544),(212) 254-8090,http://web2.userinstinct.com/31111920-susan-megson-gallery.htm,456 W Broadway,,New York,10012
Susan Rolfe Associates Fine Arts Ltd,POINT (-73.9711103443112 40.76448430163076),(212) 688-7184,http://www.merchantcircle.com/business/Susan.Rolfe.Associates.Fine.Arts.Limited.212-688-7184,654 Madison Ave,,New York,10021
Susan Sheehan Gallery,POINT (-74.00605481573004 40.747911706928555),(212) 489-3331,http://www.susansheehangallery.com/,535 West 22nd Street,3rd Floor,New York,10011
Sutherland M,POINT (-73.96722779023571 40.766960246471086),(212) 249-0428,http://www.artnet.com/gallery/155971/m-sutherland-fine-arts-ltd.html,620 Park Ave,,New York,10021
Swiss Institute,POINT (-74.00006289362192 40.72224748487797),(212) 925-2035,http://www.swissinstitute.net/,495 Broadway,3rd Fl,New York,10012
Taglialatella Dominic J,POINT (-74.00394584152615 40.74952510204985),(212) 367-0881,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CDBF0-3048-28EB-923E29A3CAFD93E0,511 West 25th Street,2nd Floor,New York,10001
Takako Tsuji Gallery,POINT (-73.97173794165505 40.762212046489296),(212) 231-1778,http://trustedplaces.com/review/us/ny/new-york/cultural/1415l81/takako-tsuji-gallery,41 E 57th St,,New York,10022
Talwar Gallery,POINT (-73.98882748825802 40.7354581457437),(212) 673-3096,http://www.talwargallery.com/,108 E 16th St,Fl 3,New York,10003
Tambaran Gallery,POINT (-73.96139898564891 40.77879668705261),(212) 570-0655,http://www.tambaran.com/,5 E 82nd St,,New York,10028
Tang Sarina,POINT (-73.96443413679928 40.774990807616135),(212) 517-7401,http://www.merchantcircle.com/business/Tang.Sarina.212-517-7401,3 E 76th St,,New York,10021
Tanya Bonakdar Galery,POINT (-74.00619627853678 40.7471718785601),(646) 638-9471,http://www.livevillage.com/newyork/art/tanya-bonakdar-galery.html,521 W 21st St,,New York,10011
Tate,POINT (-74.00618826198466 40.74160876928588),(212) 242-9888,http://www.yelp.com/biz/tate-new-york,413 W 14th St,Ste 3,New York,10014
Tatistcheff Gallery Inc,POINT (-74.00694992343615 40.746593654628896),(212) 664-0907,http://www.artinfo.com/galleryguide/13109/1619/tatistcheff-gallery-new-york/visit/,529 West 20th Street,6th Floor,New York,10011
Team Gallery,POINT (-74.00393729550223 40.75021954194053),(212) 279-9219,http://www.teamgal.com/,527 W. 26th St.,,New York,10001
Teller Susan Gallery,POINT (-73.99746436311553 40.72429065859904),(212) 941-7335,http://www.susantellergallery.com/,568 Broadway,,New York,10012
Tenri Cultural Institute,POINT (-73.99609362076046 40.73640266876522),(212) 645-2800,http://www.tenri.org/,43A W. 13th St.,1st Fl.,New York,10011
Thaw E V & Co,POINT (-73.96487147686322 40.77042622615332),(212) 535-6333,http://www.artinfo.com/galleryguide/12003/489/ev-thaw--co-inc/visit/,726 Park Ave,# 730,New York,10021
The Affordable Art Fair Llc,POINT (-73.99907018734407 40.741281452486206),(212) 255-2003,http://www.nyc.com/arts__attractions/the_affordable_art_fair_llc.1679/editorial_review.aspx,216 W 18th St,Ph,New York,10011
The Axa Gallery,POINT (-73.98178280268492 40.76169418454769),(212) 554-4818,http://axagallery.com/index.html,787 7th Ave,,New York,10019
The Bohen Foundation,POINT (-74.00650280703749 40.74080796161279),(212) 414-4575,http://ny.citysquares.com/manhattan/meatpacking-district/arts-entertainment/artists-art-dealers/the-bohen-foundation,415 W 13th St,,New York,10014
The Chinese Art Gallery,POINT (-73.965656949278 40.75795522036082),(212) 759-1153,http://www.411.info/business/New-York/New-York/The-Chinese-Art-Gallery-Ltd/8957246-13714534.html,1050 2nd Ave,,New York,10022
The Dollhaus Art Gallery,POINT (-73.96728726366906 40.710901835702906),(718) 486-0330,http://www.dollhaus.org/press/NYPress.htm,37 Broadway,,Brooklyn,11211
The Gallery 172,POINT (-73.87491939831187 40.831580396853354),(718) 861-3571,http://www.elfwood.com,1620 E 172nd St,,Bronx,10472
The Old Print Shop Inc,POINT (-73.98210767882377 40.743741261738705),(212) 683-3950,http://www.oldprintshop.com/cgi-bin/gallery.pl?action=exhibits&exhibit_id=53,150 Lexington Ave,,New York,10016
The Phatory Llc,POINT (-73.97947469330362 40.7257216580395),(212) 777-7922,http://www.thephatory.com/,618 E 9th St,,New York,10009
The Q Department,POINT (-74.00036767715117 40.719663113594706),(212) 219-3304,http://www.qdepartment.com/commercial.php,28 Howard St,,New York,10013
The Scene Gallery,POINT (-73.99097517163823 40.721062061560076),(212) 674-0508,http://newyork.citysearch.com/profile/11583862/new_york_ny/the_scene_gallery.html,42 Rivington St,,New York,10002
Thicket,POINT (-74.00824904575869 40.71858122441153),(212) 343-2849,http://outside.in/tribeca-manhattan-ny/thicket,10 Leonard St,,New York,10013
Think Art Gallery,POINT (-73.99403188876548 40.7546672150301),(212) 695-2006,http://www.nyc.com/arts__attractions/think_art_gallery.1775/editorial_review.aspx,336 W 37th St,,New York,10018
Thomas & Hirsch,POINT (-74.0022847048919 40.72343124213582),(212) 625-2011,http://www.nyc.com/arts__attractions/thomas__hirsch.597/map_location.aspx,375 W Broadway,,New York,10012
Thomas Erben Gallery,POINT (-74.00429401112444 40.749896437561546),(212) 645-8701,http://www.thomaserben.com/index.php,526 W 26th St,,New York,10001
Thomson C Art,POINT (-73.96430989681751 40.774006734867456),(212) 249-0242,http://local.botw.org/New_York/New_York/Thompson_C_Art/141792657.html,19 E 75th St,,New York,10021
Three East Third St Corp,POINT (-73.99127036086344 40.726317169194125),(212) 533-7749,http://ny.citysquares.com/manhattan/east-village/arts-entertainment/artists-art-dealers/three-east-third-st-corp,3 E 3rd St,,New York,10003
Throckmorton Fine Arts,POINT (-73.96844689694198 40.76094893064263),(212) 223-1059,http://www.throckmorton-nyc.com/,145 E. 57th St.,3rd Fl.,New York,10022
Tilton Jack Gallery,POINT (-74.00200057983146 40.72225087144002),(212) 941-1775,http://www.artseensoho.com/Art/TILTON/tilton.html,47 Greene St,,New York,10013
Time Is Always Now,POINT (-74.00165245526333 40.72303600769511),(212) 343-2211,http://www.yelp.com/biz/time-is-always-now-peter-beard-carnets-africans-new-york,476 Broome St.,,New York,10013
Tk Oriental Antiques,POINT (-73.97182904482004 40.762345560476284),(212) 980-6416,http://newyork.maplist.org/viewthread.php?tid=412663,41 E 57th St,,New York,10022
Tobey Fine Art,POINT (-73.99703668451343 40.72443534760606),(212) 431-7878,http://www.artnet.com/gallery/140739/tobey-fine-arts.html,580 Broadway,,New York,10012
Ton Ying & Co,POINT (-73.96571787671886 40.758081125504276),(212) 751-0134,http://www.hatii.arts.gla.ac.uk/admn/php/carp/essay1.php?enum=1096638570,1050 2nd Ave,Rm 87,New York,10022
Tonal Motion Inc,POINT (-73.98546138708296 40.752454571078225),(212) 719-4393,http://tonalmotion.org/main.html,1026 Avenue of the Americas,,New York,10018
Tonkonow Leslie,POINT (-74.00615109302096 40.74795821657633),(212) 255-8450,http://www.villagevoice.com/locations/leslie-tonkonow-artworks-projects-145055/,535 W 22nd St,,New York,10011
Tower Art Gallery,POINT (-74.0095084934269 40.70983827872425),(212) 571-0100,http://www.nelso.com/us/place/50980/,7 Maiden Ln,,New York,10038
Traditional Art Gallery Inc,POINT (-73.96585513475492 40.758034786660545),(212) 593-0350,http://www.getfave.com/locations/844915-traditional-art-gallery-inc,1050 2nd Ave,,New York,10022
Triangle Editions,POINT (-73.9677731620756 40.764710751441086),(212) 355-3754,http://www.getfave.com/locations/915361-triangle-editions,111 E 62nd St,,New York,10021
Tribes Gallery,POINT (-73.97988408148974 40.72155550779509),(212) 674-8262,http://www.tribes.org/web/,285 E. Third St.,,New York,10009
Triple Candie,POINT (-73.9550632174421 40.81374657890127),(212) 865-0783,http://artcritical.com/fyfe/JFNoland.htm,461 W 126th St,,New York,10027
Triton Collection the,POINT (-74.00704894372035 40.75257911943997),(212) 594-9590,http://www.tritonjewelry.com/home.php,224 12th Ave,,New York,10001
Troubetzkoy Paintings,POINT (-73.97777959495151 40.72422992194957),(212) 473-4047,http://www.troubetzkoypaintings.com/,366 E 8th St,,New York,10009
Tunick David,POINT (-73.96849022604967 40.76833078347223),(212) 570-0090,http://www.ifpda.org/content/node/2617,19 East 66th Street,,New York,10065
Turkana Gallery,POINT (-74.01245254988984 40.709767780555694),(212) 732-0273,http://www.tribal-kilims.com/links.asp,125 Cedar St,,New York,10006
Ubu Gallery,POINT (-73.96124389562185 40.75904777703154),(212) 753-4444,http://ubugallery.com/phpwcms/index.php?current,416 EAST 59 STREET,,New York,10022
Under Minerva,POINT (-73.99264059463559 40.66242444886783),(718) 788-0170,http://blog.underminerva.com/,656 5th Ave,,Brooklyn,11215
Up & Co,POINT (-74.00525333608093 40.718035958515735),(212) 966-7847,http://www.verystyleguide.com/upandco/,257 Church St,,New York,10013
Uptown Gallery the,POINT (-73.95834181152964 40.78195082570154),(212) 722-3677,http://www.uptowngallerynyc.com/,1194 Madison Ave,,New York,10128
Urban Architecture Gallery of Applied Arts Inc,POINT (-73.95568290353586 40.73872000117206),(718) 349-3837,http://www.urbanarchitecture.us/,1205 Manhattan Ave,,Brooklyn,11222
"Ursus Books & Prints, Ltd.",POINT (-73.96314947605681 40.77455057047168),(212) 744-1600,http://www.ursusbooks.com/,981 Madison Ave.,,New York,10021
Valenzi Gallery & Framing,POINT (-73.92609137053243 40.769757974132226),(718) 274-1419,"http://www.yellowbot.com/tags/frame/New%20York,%20NY%2011105/page1.html",2904 23rd St,,Astoria,11102
Van De Weghe Fine Art,POINT (-74.00485831599102 40.748295055076056),(212) 929-6633,http://www.re-title.com/exhibitions/archive_VANDEWEGHEFINEART3915.asp,521 W 23rd St,,New York,10011
Vance Jordan Fine Art,POINT (-73.96412402055026 40.7740762256816),(212) 570-9500,http://www.russianyellowpages.com/business/Vance_Jordan_Fine_Art,958 Madison Ave,,New York,10001
Veranda Design,POINT (-73.9771925909779 40.786271129139486),(212) 724-5156,http://66.111.11.24/arts__attractions/veranda_design.973/editorial_review.aspx,225 W 83rd St,,New York,10024
Verona Arts Ltd,POINT (-73.97755224356966 40.75749369898942),(212) 317-1010,http://www.merchantcircle.com/blogs/Verona.Arts.LTD.212-317-1010,603 5th Ave,,New York,10017
Viart Corporation,POINT (-73.97064699525346 40.76043003631743),(212) 752-3500,http://www.viartcorp.com/,120 E 56th St,,New York,10022
Vick Corporate Art Advisors,POINT (-74.00577306506825 40.749804550132424),(212) 414-1976,http://vickartadvisors.com/,210 11th Ave,Rm 808,New York,10001
Vieille Russie Inc Antiqs & Jwlry,POINT (-73.97253001784061 40.76431012217276),(212) 752-1727,http://www.artantiquedealersleague.org/dealerdetails.asp?dealerID=5,781 5th Ave,,New York,10022
Vietnam Art Design,POINT (-74.01012569658072 40.718403862409026),(212) 431-8889,http://www.galleryvietnam.com/,345 Greenwich St,,New York,10013
Viewpoint Gallery,POINT (-73.99068944798088 40.73711798578153),(212) 242-5478,http://www.viewpointgallery.com/contact.php,41 Union Sq W,Ph,New York,10003
Vincent Fremont Enterprises,POINT (-73.99187771197147 40.73550086652194),(212) 414-1881,http://www.manta.com/coms2/dnbcompany_6xq3v8,1 Union Sq W,Ste 307,New York,10003
Viridian Artists Inc,POINT (-74.0047276435506 40.7492913813902),(212) 414-4040,http://www.viridianartists.com/new/index.cfm,530 W 25th St,,New York,10001
Visage Studios,POINT (-73.98424841060464 40.75055102601993),(212) 391-0131,http://ny.serviceslisted.com/1654518-VisageStudios.htm,12 West 37th Street,Rm 1211,New York,10018
Visual Arts Gallery,POINT (-74.00014431394463 40.725920598893055),(212) 598-0221,http://www.nyc.com/arts__attractions/visual_arts_gallery.235/whats_nearby.aspx,137 Wooster St,,New York,10012
Volpe Organization,POINT (-73.98809616725292 40.77482589447644),(212) 227-7913,http://www.shopinmanhattan.com/map.asp?mid=10584753&subCat=art+galleries,100 W End Ave,,New York,10023
Wada Takashi Gallery,POINT (-73.98849960685845 40.76290654530983),(212) 586-8979,http://www.city-data.com/businesses/884092230-takashi-wada-gallery-new-york-ny.html,350 W 50th St,,New York,10019
Wade Maxx Art Gallery,POINT (-73.98013755406222 40.775209204933255),(212) 579-6529,http://www.wademaxx.com/,191 Columbus Ave,,New York,10023
Wally Findlay Galleries,POINT (-73.96978732354177 40.76088972879902),(212) 421-5390,http://www.wallyfindlay.com/,124 E 57th St,,New York,10022
Ward-Nasse Gallery,POINT (-74.00206948926476 40.726124349360326),(212) 925-6951,http://www.wardnasse.org/,178 Prince St,,New York,10012
Washburn Galleries,POINT (-73.97548939715747 40.76329173421364),(212) 397-6780,http://www.washburngallery.com/,20 W 57th St,Lbby,New York,10019
Washington Sq Outdoor Art Exhibit Inc,POINT (-73.98955957434988 40.73055351406694),(212) 982-6255,http://www.washingtonsquareoutdoorartexhibit.org/,115 E 9th St,,New York,10003
Webster David,POINT (-74.00604993518832 40.742554940223926),(212) 367-8120,http://www.7mainstreet.com/business/unclaimed/webster-david-new-york-ny-10001/14671913,448 W 16th St,,New York,10011
Weisbrod Chinese Art Ltd,POINT (-73.97195658131889 40.76183606457246),(212) 319-1335,http://www.weisbrodltd.com/wsbhome.html,36 E 57th St,,New York,10022
Wellesley the,POINT (-73.9604313705021 40.76937886836503),(212) 288-2666,http://www.nyc.com/arts__attractions/wellesley_the.795/whats_nearby.aspx,200 E 72nd St,,New York,10021
Wessel & O'Connor,POINT (-73.99604272085784 40.74658362420755),(212) 242-8811,http://www.wesseloconnor.com/,242 W. 26th St.,,New York,10011
Westbeth Gallery,POINT (-74.00892207369608 40.73681609073264),(212) 989-4650,http://www.westbeth.org/,55 Bethune St,# 318-C,New York,10014
Western Art Collectors Society,POINT (-74.09740510896602 40.59524979737109),(718) 351-5268,http://www.americaonwheels.com/NewYork/WESTERN_ART_COLLECTORS_SOCIETY,1374 Richmond Rd,,Staten Island,10304
Westwood Gallery,POINT (-73.99734433829671 40.724422962305674),(212) 925-5700,http://www.westwoodgallery.com/,568 Broadway,,New York,10012
Weybridge Fine Art,POINT (-73.9609780584284 40.77737493217594),(212) 628-5445,http://ny.citysquares.com/manhattan/chelsea/arts-entertainment/artists-art-dealers/weybridge-fine-art-30-e-81-madison-ave,30 E 81st St,,New York,10028
Whas Cultural Art Center Inc,POINT (-73.93249802646282 40.85624732743534),(212) 569-2224,http://www.ziphip.com/whas+cultural+art+center+inc.9.7203168p.home.html,4450 Broadway,,New York,10040
White Box,POINT (-74.00398260805142 40.7503229067573),(212) 714-2347,http://www.whiteboxny.org/,525 W. 26th St.,,New York,10001
White Columns Inc,POINT (-74.00412298674621 40.7390733900545),(212) 924-4212,http://newyork.going.com/venue-3874;White_Columns_Inc,320 W 13th St,,New York,10014
Whitfield James Fine Art,POINT (-73.99223344839037 40.7341517204105),(212) 982-8050,http://www.facebook.com/pages/London-United-Kingdom/Whitfield-Fine-Art/184172920606,107 University Pl,,New York,10003
Wickiser Walter Gallery Inc,POINT (-74.00583422026774 40.74970893312495),(212) 941-1817,http://www.walterwickisergallery.com/,210 Eleventh Avenue,Suite 303,New York,10001
Willow Woodstock Artistic Enterprises,POINT (-73.98503773768752 40.7273179875329),(212) 677-6547,http://www.yelp.com/biz/willow-woodstock-artistic-enterprises-new-york,92 Saint Marks Pl,,New York,10009
Wilmer Jenning Gallery,POINT (-73.9829756398302 40.721588112300466),(212) 505-6771,http://www.merchantcircle.com/business/Wilmer.Jenning.Gallery.212-505-6771,215 E 2nd St,,New York,10009
Winston Wachter Mayer Fine Art,POINT (-74.00469933980688 40.7494705508339),(212) 255-2718,http://www.winstonwachter.com/,530 W 25th St,# 102,New York,10001
Winter Works On Paper,POINT (-73.95596898652045 40.718843857404806),(718) 599-0910,http://www.winterworksonpaper.com/about.htm,167 North 9th Street,,Brooklyn,11211
Wolf Daniel Inc,POINT (-73.96208739067471 40.775154974749334),(212) 772-7721,http://www.manta.com/coms2/dnbcompany_d947yw,52 E 78th St,,New York,10021
Woodward Gallery,POINT (-73.99181719407879 40.7190134351541),(212) 966-3411,http://www.woodwardgallery.net/,133 Eldridge Street,,New York,10002
WORLD AFRICA,POINT (-73.94753650623625 40.83514503903612),(212) 781-1872,http://manhattan.ny.povo.com/World_Africa,779 RIVERSIDE DR,APT A60,New York,10032
World Art Center,POINT (-74.00717581854839 40.71059948663547),(212) 791-4941,http://www.merchantcircle.com/business/World.Art.Center.212-791-4941,104 Nassau St,,New York,10038
Yancey Richardson Gallery,POINT (-74.00606501650554 40.747990092758),(646) 230-9610,http://www.yanceyrichardson.com/,535 W 22nd St,,New York,10011
Yasuda Fine Arts Inc,POINT (-73.97760350331404 40.76154759316407),(212) 977-7966,http://www.localartdealers.com/New-York/Yasuda-Fine-Arts-Incorporated-25075.html,15 W 53rd St,,New York,10019
Yorks Shona Gallery,POINT (-73.99930952043819 40.72346095072394),(212) 431-7444,http://yorksshonagallery.com/,99 Spring St,,New York,10012
Yorkville Art Gallery & Framing,POINT (-73.94977563288387 40.784125667613885),(212) 423-0604,http://www.merchantcircle.com/business/Yorkville.Art.Gallery.And.Framing.212-423-0604,1687 3rd Ave,,New York,10128
Yoshii Gallery,POINT (-73.96353644734154 40.77472916422377),(212) 744-5550,http://www.yoshiigallery.com/,980 Madison Avenue,3rd Floor,New York,10075
Yung Hee Kim,POINT (-73.96503049783473 40.77480194940473),(212) 734-0009,http://www.linkedin.com/pub/yunghee-kim/11/847/188,945 5th Ave,,New York,10021
Zabriskie Gallery,POINT (-73.97608678432614 40.764177063493484),(212) 752-1223,http://www.zabriskiegallery.com/,41 W 57th St,Fl 4,New York,10019
Zarre Andre Gallery,POINT (-74.00694053104591 40.74665656097067),(212) 255-0202,http://www.andrezarrefineart.com/index.html,529 W 20th St,,New York,10011
Zetterquist Galleries,POINT (-73.96909886452057 40.76855090982749),(212) 751-0650,http://web.mac.com/zetterquist/Qingbai_Wares/Home.html,3 East 66th Street,#1B,New York,10065
Zito Studio Gallery,POINT (-73.98835221789699 40.71959638253985),(646) 602-2338,http://www.merchantcircle.com/business/Zito.Studio.Gallery.646-602-2338,122 Ludlow St,,New York,10002
Zwirner & Wirth,POINT (-73.96656358087144 40.769475354080704),(212) 517-8677,http://www.zwirnerandwirth.com/,32 E. 69th St.,,New York,10021
Zwirner David Gallery,POINT (-74.00696818173046 40.745894958673),(212) 727-2070,http://www.davidzwirner.com/,525 W 19th St,,New York,10011
Priska C. Juschka Fine Art Inc,POINT (-74.00436440935563 40.7512662970876),(212) 244-4320,http://www.priskajuschkafineart.com/,547 W 27th St,,New York,10001
1 2 3 Watts Gallery,POINT (-74.00902348594506 40.72385716638239),(212) 219-1482,http://www.123watts.com/,123 Watts St,,New York,10013
12 Below,POINT (-73.99106783126521 40.734601392796556),(212) 777-6777,http://www.upspring.com/12-below-new-york-ny-map.html,853 Broadway,,New York,10003
14 Sculptors Gallery,POINT (-73.99752290955341 40.725255318583244),(212) 966-5790,http://www.14sculptors.com/,168 Mercer St,,New York,10012
1405 Art Gallery,POINT (-73.9579834660085 40.769747219832055),(212) 717-4025,http://artframenj.com/,1405 2nd Ave,,New York,10021
2 Welancora Gallery,POINT (-73.94151974328003 40.68407789876472),(718) 919-0344,http://www.welancora.com/,410 Jefferson Ave,,Brooklyn,11221
280 Modern,POINT (-73.91448247157493 40.70924362650799),(212) 941-5825,http://attractions.uptake.com/museums/new_york/ridgewood/280_modern_17617828.html,1875 Dekalb Ave,,Ridgewood,11385
3 Costantino Fioratti Helen C,POINT (-73.96468514091578 40.77217101486103),(212) 517-9176,http://www.lantiquaire.us/mirrors-in-renaissance-period.html,36 E 73rd St,,New York,10021
303 Gallery,POINT (-74.00709988223846 40.74748972764634),(212) 255-1121,http://www.303gallery.com/,547 W 21st Street,,New York,10011
33rd St Galleria,POINT (-73.99086172847174 40.74998473697619),(212) 273-9673,http://www.superpages.com/bp/New-York-NY/33rd-Street-Galleria-L2016404930.htm,401 7th Ave,,New York,10001
33rd Street Galleria,POINT (-73.9896764403985 40.74995772882257),(212) 760-1228,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489C0F17-3048-28EB-92D57971418D832F,131 W 33rd St,Lbby,New York,10001
4 Chambers Fine Art,POINT (-74.00711818986275 40.745480983048324),(212) 414-1169,http://www.chambersfineart.com/en/calendar/2009-2-bj.html,522 West 19th Street,,New York,10011
5 Robin Rice Gallery,POINT (-73.95513650506956 40.806039095014725),(212) 366-6660,http://www.robinricegallery.com/galleryinformation/index.html,325 W 118th St,,New York,10026
531 Artspace,POINT (-73.94713438435649 40.72132181792675),(718) 388-6087,http://newyork.citywaboo.com/business/2200841/531_Artspace-in-Brooklyn-NY_11222-4852.html,531 Graham Ave,,Brooklyn,11222
73 St Farmers Market,POINT (-73.953015464766 40.76730472453463),(212) 879-3500,http://www.nyc.com/arts__attractions/73_st_farmers_market.1808/whats_nearby.aspx,1368 York Ave,,New York,10021
A Clean Well Lighted Place Inc,POINT (-74.00455563265132 40.734536111030195),(212) 255-3656,http://www.merchantcircle.com/business/A.Clean.Well.Lighted.Place.Inc.New.York.NY.1.212-255-3656,363 Bleecker St,,New York,10014
A J ARTS LTD,POINT (-73.91691325451417 40.618609648042934),(718) 763-5473,http://yp.blogflux.com/directory/us/new-york/brooklyn/a-j-arts-ltd-6208-mill-ln/,6208 MILL LN,,Brooklyn,11234
A.I.R. Gallery,POINT (-74.00247723876265 40.72220573764243),(212) 966-0799,http://www.artseensoho.com/Art/AIR/air.html,40 Wooster St,,New York,10013
AAA-Abbey Mdsng Co Inc,POINT (-73.9699306449376 40.64223848857642),(718) 253-8830,http://yp.blogflux.com/directory/us/new-york/brooklyn/aaaabbey-mdsng-co-inc/,618 Coney Island Ave,,Brooklyn,11218
Abada Felix Inc,POINT (-73.95369906884567 40.77982818893016),(212) 427-8731,http://www.nyc.com/arts__attractions/abada_felix_inc.468/whats_nearby.aspx,1556 3rd Ave,,New York,10128
Aberbach Fine Art,POINT (-73.97156738540961 40.76234164563961),(212) 988-1100,http://www.saberbach.com/site.html,41 E 57th Street,14th Floor Suite1401,New York,10022
Aca Galleries,POINT (-74.00671307190173 40.7466637235728),(212) 206-8080,http://www.acagalleries.com/,529 W 20th St,,New York,10011
Ace Gallery,POINT (-74.00800569763308 40.72518059211007),(212) 255-5599,http://www.acegallery.net,275 Hudson St,,New York,10013
Acquavella Galleries Inc,POINT (-73.96264902751969 40.776241997318024),(212) 734-6300,http://www.acquavellagalleries.com/,18 E 79th St,,New York,10021
Adam Baumgold Fine Art,POINT (-73.96107580310452 40.77566375107602),(212) 861-7338,http://www.adambaumgoldgallery.com/,74 E. 79th St.,,New York,10021
Adam Williams Fine Art Ltd,POINT (-73.96206753819425 40.776967240487316),(212) 249-4987,http://www.adam-williams.com/DesktopDefault.aspx?tabid=20,24 East 80th Street,,New York,10075
Adams Fund Art Buyers,POINT (-73.9859359709644 40.78013538557862),(212) 873-2633,http://www.yellowspinny.com/adams+fund+art+buyers/bus-16396/,330 W 72nd St,Bsmt,New York,10023
Adams George Gallery,POINT (-73.97614892855628 40.76409153208361),(212) 644-5665,http://www.ikarma.com/biz/New+York/New+York/Adams+George+Gallery/%28212%29644-5665/,41 W 57th St,Lbby,New York,10019
