Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District
02/18/2017 05:15:00 PM,071XX S MORGAN ST,BATTERY,SIMPLE,ALLEY,false,false,7
09/02/2016 04:00:00 PM,021XX S LAWNDALE AVE,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,10
08/28/2016 03:47:00 AM,075XX S KENWOOD AVE,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,4
11/19/2016 12:32:00 PM,058XX W CORNELIA AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,16
06/10/2016 10:00:00 PM,063XX S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,3
06/30/2016 02:00:00 AM,082XX S ASHLAND AVE,CRIMINAL DAMAGE,TO PROPERTY,MEDICAL/DENTAL OFFICE,false,false,6
12/23/2016 09:50:00 AM,045XX W 63RD ST,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,,false,false,8
02/05/2017 10:37:00 AM,005XX W 85TH ST,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,6
11/10/2016 08:00:00 AM,020XX N WHIPPLE ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),false,false,14
08/05/2016 07:00:00 PM,027XX N MILDRED AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,19
09/14/2016 02:45:00 AM,007XX W 117TH ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,5
08/26/2016 12:16:00 AM,011XX S MASON AVE,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,false,false,15
04/11/2016 08:00:00 AM,017XX N DAMEN AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,14
08/31/2016 01:00:00 AM,006XX W 61ST PL,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,7
02/24/2017 12:30:00 PM,002XX N CLARK ST,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1
12/09/2016 11:20:00 AM,036XX W GRENSHAW ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,11
02/21/2016 10:00:00 PM,016XX S PRAIRIE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1
06/22/2016 10:15:00 AM,001XX N STATE ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,1
08/02/2016 05:43:00 PM,034XX W FULTON BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,false,11
11/24/2016 07:30:00 AM,024XX W RICE ST,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,12
09/18/2016 11:20:00 AM,030XX N GREENVIEW AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,true,false,19
08/07/2016 01:00:00 AM,067XX S RIDGELAND AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,3
02/02/2016 10:25:00 PM,031XX W HARRISON ST,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,POLICE FACILITY/VEH PARKING LOT,true,false,11
02/11/2016 08:00:00 AM,007XX N WABASH AVE,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,18
06/04/2016 12:19:00 PM,0000X E 43RD ST,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,true,false,2
05/03/2016 10:10:00 PM,064XX S PEORIA ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,7
03/03/2017 07:00:00 AM,029XX N NASHVILLE AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,25
03/02/2016 06:15:00 PM,0000X E WACKER DR,THEFT,OVER $500,STREET,false,false,1
08/14/2016 05:00:00 PM,023XX W MONROE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,12
10/08/2016 06:00:00 PM,0000X N MICHIGAN AVE,THEFT,FROM BUILDING,OTHER,false,false,1
03/26/2016 07:15:00 PM,068XX S CHAPPEL AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,3
12/21/2016 07:05:00 AM,073XX S DANTE AVE,THEFT,$500 AND UNDER,STREET,false,false,3
12/21/2016 10:40:00 AM,057XX S MAY ST,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,7
07/26/2016 10:15:00 PM,067XX S PAXTON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,3
01/29/2016 10:00:00 AM,107XX S STATE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),false,false,5
01/03/2016 09:00:00 AM,001XX W WASHINGTON ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,false,false,1
01/23/2016 02:00:00 AM,033XX N SEMINARY AVE,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,19
05/26/2016 12:33:00 PM,068XX S STEWART AVE,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,7
10/18/2016 12:45:00 AM,039XX W GRENSHAW ST,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,11
01/29/2016 10:55:00 PM,001XX N KEDZIE AVE,BATTERY,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,12
05/27/2016 11:00:00 PM,003XX N HALSTED ST,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,12
03/16/2016 12:15:00 PM,044XX W 53RD ST,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,true,false,8
02/05/2017 09:44:00 AM,001XX E 118TH PL,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,5
11/14/2016 04:10:00 AM,059XX N LINCOLN AVE,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,20
02/09/2016 06:00:00 PM,028XX N PARKSIDE AVE,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,false,true,25
12/23/2016 07:06:00 PM,0000X S STATE ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,false,false,1
01/02/2017 08:05:00 PM,074XX S WABASH AVE,ROBBERY,ARMED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),false,false,3
09/16/2016 11:30:00 PM,069XX S CLAREMONT AVE,BATTERY,SIMPLE,STREET,false,false,8
02/01/2017 09:00:00 AM,039XX S DR MARTIN LUTHER KING JR DR,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,2
02/29/2016 03:50:00 PM,055XX N ASHLAND AVE,THEFT,OVER $500,PARK PROPERTY,false,false,20
02/01/2017 10:15:00 AM,113XX S MICHIGAN AVE,OTHER OFFENSE,LICENSE VIOLATION,VEHICLE NON-COMMERCIAL,false,false,5
11/09/2016 08:30:00 PM,039XX W DIVISION ST,CRIMINAL TRESPASS,TO LAND,APARTMENT,false,false,11
10/15/2016 07:00:00 AM,014XX W 111TH ST,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,22
02/10/2016 11:34:00 PM,078XX S CHAPPEL AVE,BURGLARY,HOME INVASION,APARTMENT,false,false,4
08/02/2016 06:00:00 PM,045XX S DREXEL BLVD,ASSAULT,SIMPLE,NURSING HOME/RETIREMENT HOME,false,false,2
11/07/2016 11:45:00 AM,079XX S STONY ISLAND AVE,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,4
07/01/2016 12:00:00 AM,003XX E 136TH ST,CRIM SEXUAL ASSAULT,PREDATORY,VEHICLE NON-COMMERCIAL,true,false,5
08/04/2016 05:11:00 PM,011XX S ST LOUIS AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,false,true,11
01/31/2016 05:43:00 PM,002XX N KEDZIE AVE,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,11
01/28/2017 10:51:00 PM,028XX S DR MARTIN LUTHER KING JR DR,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1
03/19/2016 09:00:00 AM,023XX N CLIFTON AVE,BURGLARY,UNLAWFUL ENTRY,COLLEGE/UNIVERSITY RESIDENCE HALL,true,false,18
06/19/2016 03:30:00 PM,085XX S COTTAGE GROVE AVE,THEFT,RETAIL THEFT,CONVENIENCE STORE,true,false,6
01/29/2016 09:00:00 AM,044XX N LINDER AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,16
02/06/2017 08:00:00 PM,020XX W CORTEZ ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,12
06/04/2016 12:30:00 AM,101XX S HALSTED ST,MOTOR VEHICLE THEFT,AUTOMOBILE,HOTEL/MOTEL,false,false,22
03/01/2016 05:20:00 PM,052XX S INGLESIDE AVE,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,false,false,2
06/03/2016 05:45:00 AM,051XX N CALIFORNIA AVE,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,false,false,20
11/22/2016 07:03:00 AM,028XX W CULLOM AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,17
08/12/2016 03:22:00 PM,025XX W MADISON ST,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,12
08/02/2016 10:45:00 AM,044XX N MOZART ST,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,17
12/14/2016 01:20:00 PM,038XX W NORTH AVE,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,25
02/18/2016 12:45:00 PM,019XX S PULASKI RD,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,false,false,10
05/05/2016 09:00:00 PM,039XX S LAKE PARK AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2
04/22/2016 11:40:00 PM,047XX W POLK ST,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,true,false,11
04/18/2016 06:15:00 PM,105XX S HAMLIN AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,22
08/21/2016 06:45:00 AM,074XX S COLES AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,3
08/24/2016 09:10:00 PM,079XX S DREXEL AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,6
02/14/2017 01:00:00 AM,024XX W 34TH ST,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,true,9
02/18/2017 01:00:00 PM,002XX S MICHIGAN AVE,THEFT,FROM BUILDING,RESTAURANT,false,false,1
05/03/2016 12:44:00 PM,075XX S YATES BLVD,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,4
05/10/2016 05:00:00 PM,001XX N KEDZIE AVE,PUBLIC PEACE VIOLATION,OTHER VIOLATION,STREET,true,false,12
09/13/2016 07:30:00 AM,025XX W LITHUANIAN PLAZA CT,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,8
07/07/2016 04:25:00 PM,002XX W 37TH ST,CRIMINAL TRESPASS,TO RESIDENCE,CHA APARTMENT,true,false,9
08/26/2016 02:30:00 AM,047XX S WASHTENAW AVE,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,9
02/26/2016 06:50:00 AM,022XX N SOUTHPORT AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,18
04/06/2016 09:00:00 PM,037XX N MAGNOLIA AVE,THEFT,$500 AND UNDER,STREET,false,false,19
05/18/2016 12:00:00 AM,068XX S MERRILL AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,true,3
02/04/2017 05:00:00 PM,020XX N STAVE ST,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,14
12/16/2016 01:08:00 PM,025XX W CERMAK RD,ASSAULT,SIMPLE,GROCERY FOOD STORE,false,false,10
04/30/2016 04:09:00 PM,031XX W WASHINGTON BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,true,12
09/14/2016 12:35:00 PM,046XX N PAULINA ST,ASSAULT,SIMPLE,SIDEWALK,false,false,19
06/05/2016 03:11:00 PM,057XX W IRVING PARK RD,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,BARBERSHOP,false,true,16
01/30/2017 07:25:00 PM,017XX W NORTH AVE,THEFT,FROM BUILDING,ATHLETIC CLUB,false,false,14
05/15/2016 09:50:00 AM,015XX W Roscoe St,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,19
11/09/2016 11:45:00 AM,089XX S BLACKSTONE AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,4
09/21/2016 09:00:00 PM,076XX S PERRY AVE,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,false,false,6
05/18/2016 03:00:00 PM,002XX E PERSHING RD,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",false,false,2
10/10/2016 07:48:00 PM,085XX S CARPENTER ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,6
10/21/2016 02:40:00 AM,026XX W GREENLEAF AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,24
01/12/2017 03:00:00 PM,048XX N CLARK ST,THEFT,FROM BUILDING,SMALL RETAIL STORE,false,false,20
07/28/2016 02:30:00 PM,013XX E 87TH ST,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),false,false,4
05/09/2016 05:15:00 PM,019XX W POLK ST,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,12
01/15/2016 04:30:00 AM,012XX S AVERS AVE,THEFT,$500 AND UNDER,STREET,false,false,10
02/17/2016 11:23:00 PM,004XX W MONTROSE DR,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,true,false,19
02/13/2017 03:00:00 PM,045XX N MERRIMAC AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,16
10/21/2016 06:50:00 PM,003XX S STATE ST,BATTERY,SIMPLE,CTA STATION,false,false,1
01/23/2017 11:37:00 PM,085XX S MARQUETTE AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,true,4
03/03/2017 09:00:00 PM,023XX S WHIPPLE ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,10
09/21/2016 05:00:00 PM,024XX W BELMONT AVE,THEFT,FROM BUILDING,POLICE FACILITY/VEH PARKING LOT,false,false,19
02/13/2017 07:30:00 PM,021XX W 63RD ST,CRIMINAL DAMAGE,TO VEHICLE,OTHER,false,false,7
07/14/2016 02:00:00 PM,052XX N SHERIDAN RD,BATTERY,SIMPLE,OTHER,true,false,20
02/17/2016 03:00:00 PM,059XX W GIDDINGS ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,16
11/02/2016 11:28:00 AM,017XX E 68TH ST,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,3
04/24/2016 03:30:00 PM,051XX S ASHLAND AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,9
04/16/2016 08:55:00 AM,023XX N LEAVITT ST,THEFT,OVER $500,STREET,false,false,14
05/16/2016 07:30:00 PM,027XX N MENARD AVE,ASSAULT,SIMPLE,APARTMENT,false,false,25
01/03/2017 10:26:00 AM,078XX S PEORIA ST,BURGLARY,FORCIBLE ENTRY,RESIDENCE,true,false,6
11/21/2016 12:30:00 AM,059XX S MICHIGAN AVE,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,true,2
02/27/2017 08:02:00 PM,054XX S LARAMIE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,8
09/23/2016 10:37:00 PM,071XX S OGLESBY AVE,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,3
12/21/2016 06:00:00 AM,038XX N SEMINARY AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,19
01/24/2017 04:45:00 AM,038XX S WELLS ST,CRIMINAL DAMAGE,TO PROPERTY,CHA PARKING LOT/GROUNDS,false,true,9
04/21/2016 03:00:00 PM,052XX W FULLERTON AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,25
09/13/2016 08:30:00 PM,041XX W WASHINGTON BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,11
05/22/2016 02:40:00 PM,034XX W CHICAGO AVE,BATTERY,SIMPLE,GROCERY FOOD STORE,false,false,11
10/28/2016 05:30:00 PM,025XX W NORTH AVE,THEFT,FROM BUILDING,DEPARTMENT STORE,false,false,14
02/11/2016 09:57:00 AM,004XX N ALBANY AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,true,false,12
01/19/2017 02:38:00 AM,057XX S UNION AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,7
07/10/2016 04:30:00 AM,003XX W HUBBARD ST,THEFT,FROM BUILDING,APARTMENT,false,false,18
07/17/2016 10:00:00 AM,016XX N FAIRFIELD AVE,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,false,false,14
08/26/2016 09:50:00 PM,079XX S RIDGELAND AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,4
04/10/2016 06:21:00 PM,044XX S COTTAGE GROVE AVE,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,2
05/19/2016 02:20:37 PM,007XX S KARLOV AVE,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,true,false,11
02/11/2017 02:00:00 PM,020XX N CLARK ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,false,false,18
02/23/2017 12:00:00 PM,077XX S EAST END AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,4
11/27/2016 05:15:00 PM,050XX N ST LOUIS AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,17
12/15/2016 07:15:00 PM,009XX N MICHIGAN AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,18
01/18/2016 07:13:00 PM,006XX N LECLAIRE AVE,NARCOTICS,POSS: PCP,SIDEWALK,true,false,15
04/21/2016 09:26:00 AM,006XX E 47TH ST,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,2
02/07/2017 09:00:00 AM,003XX E PERSHING RD,THEFT,FROM BUILDING,ABANDONED BUILDING,false,false,2
05/30/2016 12:01:00 AM,107XX S LA SALLE ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,5
01/01/2016 05:00:00 PM,058XX S MICHIGAN AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,2
05/17/2016 06:05:00 PM,016XX S CLARK ST,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,1
02/29/2016 12:09:00 AM,004XX N DAMEN AVE,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,12
06/15/2016 04:30:00 PM,068XX S WINCHESTER AVE,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,7
01/06/2016 08:31:00 PM,018XX N WASHTENAW AVE,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,14
11/26/2016 01:30:00 PM,027XX E 77TH ST,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,4
03/29/2016 08:30:00 AM,024XX W 63RD ST,THEFT,$500 AND UNDER,SIDEWALK,false,true,8
08/23/2016 08:20:00 PM,070XX N RAVENSWOOD AVE,CRIMINAL TRESPASS,TO LAND,OTHER,true,false,24
05/09/2016 08:00:00 AM,015XX W 91ST ST,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,22
10/22/2016 10:39:00 PM,035XX W WABANSIA AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,14
12/08/2016 03:45:00 PM,060XX S CICERO AVE,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,OTHER,false,false,8
10/27/2016 07:25:00 PM,048XX S VINCENNES AVE,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,true,2
10/10/2016 04:45:00 PM,090XX S BURLEY AVE,ROBBERY,STRONGARM - NO WEAPON,RESIDENTIAL YARD (FRONT/BACK),false,false,4
08/11/2016 04:35:00 PM,023XX S MICHIGAN AVE,THEFT,OVER $500,RESIDENCE,true,false,1
07/21/2016 01:00:00 PM,056XX S INDIANA AVE,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,2
10/31/2016 01:47:00 AM,021XX N AUSTIN AVE,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,BAR OR TAVERN,true,false,25
01/23/2017 09:30:00 AM,131XX S CORLISS AVE,THEFT,$500 AND UNDER,CHA APARTMENT,false,false,5
06/30/2016 09:10:00 PM,099XX S NORMAL AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,22
12/08/2016 08:30:00 PM,029XX W BIRCHWOOD AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,24
07/30/2016 07:00:00 PM,072XX S HALSTED ST,THEFT,$500 AND UNDER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,false,false,7
09/22/2016 01:00:00 AM,018XX W ARMITAGE AVE,THEFT,OVER $500,ALLEY,false,false,14
01/22/2016 08:00:00 AM,073XX S EMERALD AVE,THEFT,$500 AND UNDER,STREET,false,false,7
03/29/2016 11:15:00 AM,062XX N LINCOLN AVE,THEFT,RETAIL THEFT,OTHER,true,false,17
03/07/2016 10:28:00 PM,084XX S LOOMIS BLVD,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,6
11/22/2016 02:00:00 AM,035XX W FRANKLIN BLVD,THEFT,$500 AND UNDER,RESIDENCE,false,false,11
11/05/2016 04:30:00 PM,008XX N STATE ST,THEFT,POCKET-PICKING,CTA TRAIN,false,false,18
08/07/2016 10:05:00 AM,024XX W LEXINGTON ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,11
09/26/2016 11:00:00 AM,060XX N NASSAU AVE,THEFT,$500 AND UNDER,SPORTS ARENA/STADIUM,false,false,16
03/30/2016 02:36:00 AM,024XX W 35TH ST,NARCOTICS,POSS: COCAINE,PARKING LOT/GARAGE(NON.RESID.),true,false,9
03/24/2016 03:30:00 PM,012XX W 73RD PL,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,7
03/10/2016 04:00:00 PM,035XX S RHODES AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,2
06/12/2016 09:12:00 PM,043XX W GLADYS AVE,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,true,false,11
06/04/2016 10:00:00 PM,064XX S KEDVALE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,8
01/11/2017 11:30:00 AM,0000X N CLARK ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,OTHER,true,true,1
01/12/2016 09:08:00 AM,011XX S RICHMOND ST,ASSAULT,SIMPLE,APARTMENT,false,true,11
07/11/2016 02:00:00 AM,060XX S CARPENTER ST,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,7
10/01/2016 06:00:00 AM,023XX N MEADE AVE,THEFT,OVER $500,STREET,false,false,25
07/25/2016 02:10:00 PM,070XX N Ashland Blvd,THEFT,FROM BUILDING,APARTMENT,false,false,24
02/27/2016 10:30:00 PM,013XX W 32ND ST,THEFT,$500 AND UNDER,APARTMENT,false,true,9
02/21/2017 02:40:00 PM,001XX N MICHIGAN AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,false,false,1
03/01/2016 04:00:00 AM,014XX W 110TH PL,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,22
06/13/2016 09:15:00 AM,026XX S CALIFORNIA AVE,THEFT,OVER $500,STREET,false,false,10
03/07/2016 10:45:00 PM,035XX N OCTAVIA AVE,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,16
03/11/2016 05:30:00 AM,006XX N PULASKI RD,ASSAULT,SIMPLE,CTA GARAGE / OTHER PROPERTY,false,false,11
11/11/2016 09:00:00 AM,021XX E 71ST ST,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,3
05/19/2016 11:57:00 PM,121XX S HALSTED ST,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,5
08/24/2016 10:00:00 AM,035XX W 26TH ST,ROBBERY,STRONGARM - NO WEAPON,SMALL RETAIL STORE,false,false,10
02/07/2017 08:00:00 AM,027XX W 24TH ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,10
03/31/2016 07:00:00 AM,052XX S PAYNE DR,CRIMINAL DAMAGE,TO VEHICLE,PARK PROPERTY,false,false,2
02/24/2017 07:00:00 PM,065XX S LOWE AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,7
03/19/2016 04:30:00 PM,132XX S EBERHART AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,5
03/02/2016 12:30:00 PM,0000X E 8TH ST,THEFT,$500 AND UNDER,RESTAURANT,false,false,1
05/08/2016 07:00:00 PM,071XX S UNIVERSITY AVE,THEFT,OVER $500,STREET,false,false,3
12/04/2016 04:13:00 PM,023XX W VAN BUREN ST,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,false,false,12
01/22/2017 12:00:00 PM,038XX N Damen Ave,THEFT,$500 AND UNDER,APARTMENT,false,false,19
03/06/2016 07:00:00 PM,040XX W FIFTH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,11
08/14/2016 02:00:00 AM,043XX W VAN BUREN ST,THEFT,$500 AND UNDER,RESIDENCE,false,false,11
11/16/2016 12:30:00 AM,001XX E CHICAGO AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,18
08/18/2016 05:26:00 PM,087XX S DAN RYAN EXPY OB,ROBBERY,STRONGARM - NO WEAPON,STREET,true,false,6
12/26/2016 10:18:00 PM,009XX S KARLOV AVE,THEFT,OVER $500,GOVERNMENT BUILDING/PROPERTY,true,false,11
11/28/2016 06:00:00 PM,003XX E 58TH ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2
01/22/2016 12:30:00 PM,072XX S MAY ST,THEFT,$500 AND UNDER,APARTMENT,false,false,7
11/09/2016 09:00:00 AM,002XX E 103RD ST,THEFT,FROM BUILDING,RESTAURANT,false,false,5
06/18/2016 03:30:00 PM,024XX N SOUTHPORT AVE,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,NURSING HOME/RETIREMENT HOME,false,false,19
01/02/2017 03:00:00 PM,039XX W 57TH PL,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,8
10/19/2016 09:43:00 PM,024XX W MOFFAT ST,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),true,false,14
10/04/2016 06:00:00 PM,0000X E RANDOLPH ST,THEFT,$500 AND UNDER,SMALL RETAIL STORE,false,false,1
05/12/2016 10:00:00 PM,018XX W GARFIELD BLVD,THEFT,OVER $500,APARTMENT,false,false,7
